edge_id,供方,需方,year,pct_or_amt,observe_type
E052,奥普瑞,猎奇智能,2025,5.85%(5040.29万元),last_observed
E053,南央国际,猎奇智能,2025,3.00%(2586.96万元),observed
E054,津微光电,猎奇智能,2024,3.69%(1007.62万元),observed
E055,中际旭创,客户A(匿名),2025,24.06%(9201495755.91元),observed
E056,中际旭创,客户B(匿名),2025,18.26%(6981202208.21元),observed
E057,中际旭创,客户C(匿名),2025,14.22%(5438189570.59元),observed
E058,中际旭创,客户D(匿名),2025,11.34%(4337902496.40元),observed
E059,供应商A(匿名),中际旭创,2025,35.76%(8885926791.46元),observed
E060,新易盛,客户第一名(匿名),2024,31.74%,first_observed
E060,新易盛,客户第一名(匿名),2025,22.97%(5706560719.37元),last_observed
E061,新易盛,客户第二名(匿名),2024,12.39%,first_observed
E061,新易盛,客户第二名(匿名),2025,16.64%(4133465492.45元),last_observed
E062,新易盛,客户第三名(匿名),2024,12.15%,first_observed
E062,新易盛,客户第三名(匿名),2025,15.63%(3881540609.61元),last_observed
E063,新易盛,客户第四名(匿名),2025,10.96%(2721814735.32元),observed
E064,供应商第一名(匿名),新易盛,2023,15.03%,first_observed
E064,供应商第一名(匿名),新易盛,2024,23.57%,observed
E064,供应商第一名(匿名),新易盛,2025,23.87%(3666795583.83元),last_observed
E065,天孚通信,客户2(匿名),2025,11.66%(601931536.36元),observed
E066,供应商1(匿名),天孚通信,2025,34.81%(832889806.30元),observed
E067,猎奇智能,客户五(匿名),2023,11.32%(3273.09万元),first_observed
E067,猎奇智能,客户五(匿名),2024,3.48%,observed
E067,猎奇智能,客户五(匿名),2025,3.74%,last_observed
E068,Fabrinet,Lumentum,2021,13.6%,first_observed
E068,Fabrinet,Lumentum,2022,10.3%,observed
E068,Fabrinet,Lumentum,2023,15.4%,last_observed
E069,Fabrinet,NVIDIA,2023,12.5%,observed
E070,Fabrinet,Cisco,2021,10.7%,first_observed
E070,Fabrinet,Cisco,2022,25.4%,observed
E070,Fabrinet,Cisco,2023,15.6%,last_observed
E071,Fabrinet,Infinera,2021,11.6%,first_observed
E071,Fabrinet,Infinera,2022,12.5%,observed
E071,Fabrinet,Infinera,2023,12.4%,last_observed
E072,天孚通信,Fabrinet,2023,53.61%(1039308855.95元),observed
E073,天孚通信,Fabrinet,2024,61.69%(2005917035.59元),observed
E074,光迅科技,烽火通信,2023,5.59%(369224117.92元),observed
E074,光迅科技,烽火通信,2024,跌出前五,censored
E074,光迅科技,烽火通信,2025,跌出前五,censored
E075,光迅科技,客户1(匿名),2023,15.24%,first_observed
E075,光迅科技,客户1(匿名),2024,12.42%,observed
E075,光迅科技,客户1(匿名),2025,15.16%(1807934600.51元),last_observed
E076,罗博特科,客户一(匿名),2025,19.35%(183805309.74元),observed
E077,凯格精机,第一名(匿名),2025,8.51%(94811977.48元),observed
E078,快克智能,客户一(匿名),2025,12.13%(131019640.80元),observed
E079,普源精电,客户1(匿名),2025,12.73%(112631500.00元),observed
E080,奥特维,客户1(匿名),2025,15.35%(981740400.00元),observed
E081,博众精工,客户一(匿名),2025,32.82%(2154855900.00元),observed
E082,联讯仪器,Power Master,2025Q1,9.06%(1821.39万元),observed
E083,联讯仪器,新易盛,2025Q1,8.29%(1668.10万元),observed
E084,联讯仪器,讯速信远,2025Q1,5.47%(1100.78万元),observed
E085,联讯仪器,光迅科技,2024,7.57%,observed
E086,联讯仪器,士兰微,2024,6.92%,observed
E087,联讯仪器,海信集团,2024,6.54%,observed
E088,联讯仪器,中际旭创,2024,6.26%,observed
E089,联讯仪器,海信集团,2023,15.33%(4227.19万元),observed
E090,联讯仪器,中际旭创,2023,14.75%(4068.26万元),observed
E091,联讯仪器,三安光电,2023,6.81%(1876.87万元),observed
E092,联讯仪器,海信集团,2022,14.02%(3005.18万元),observed
E093,联讯仪器,光迅科技,2022,11.53%(2471.91万元),observed
E094,联讯仪器,Broadcom,2022,6.11%(1310.23万元),observed
E095,联讯仪器,三安光电,2022,5.06%(1084.04万元),observed
E096,联讯仪器,集团一(匿名),2023,9.90%,first_observed
E096,联讯仪器,集团一(匿名),2024,16.92%,observed
E096,联讯仪器,集团一(匿名),2025Q1,35.51%(7140.45万元),last_observed
E097,联讯仪器,集团一(匿名),2024,16.92%,observed
E098,联讯仪器,集团一(匿名),2023,9.90%(2730.72万元),observed
E099,联讯仪器,集团二(匿名),2023,6.03%,observed
